carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
0.4,Premium,E,SI2,38588,4.7,60.5,59.0,821.0,4.78,4.74,2.88
0.34,Premium,G,VS1,39927,3.23,62.2,55.0,821.0,4.52,4.48,2.8
0.36,Very Good,G,VVS1,42944,1.34,62.8,57.0,821.0,4.52,4.55,2.85
0.39,Ideal,F,VS2,34396,4.86,60.0,57.0,821.0,4.7,4.76,2.84
0.39,Very Good,F,VS2,36224,3.88,58.8,59.0,821.0,4.8,4.83,2.83
0.36,Ideal,G,VVS2,30808,1.59,62.3,56.0,821.0,4.53,4.56,2.83
0.39,Premium,I,VVS1,47732,1.95,61.5,59.0,821.0,4.67,4.7,2.88
0.39,Very Good,F,VS2,34426,0.95,62.4,58.0,821.0,4.61,4.65,2.89
0.39,Very Good,F,VS2,31341,2.35,58.4,62.0,821.0,4.76,4.79,2.79
0.7,MAYBE,TRUE,VVS1,45492,5.07,61.8,56.0,821.0,5.7,5.71,2.84
0.7,MAYBE,G,SI1,41372,1.7,61.8,58.0,821.0,5.7,4.6,3.53
0.4,Very Good,G,VS1,43845,1.78,61.8,58.0,822.0,4.69,4.72,2.91
0.38,Ideal,F,VS2,34455,3.86,61.3,57.0,822.0,4.65,4.68,2.86
0.33,Ideal,D,VS2,46126,0.97,61.1,56.0,822.0,4.5,4.54,2.76
0.41,Very Good,G,VS1,33611,2.71,60.5,56.0,823.0,4.83,4.85,2.93
0.7,Premium,FALSE,SI1,48392,4.1,61.8,59.0,823.0,5.7,4.74,2.86
0.37,Ideal,D,SI1,38621,2.67,61.1,57.0,823.0,4.63,4.64,2.83
0.4,Good,H,VVS2,47262,1.25,59.1,61.0,823.0,4.79,4.82,2.84
0.42,Ideal,G,VS1,37201,1.93,61.0,56.0,823.0,4.82,4.86,2.95
0.42,Ideal,H,VVS2,37727,4.33,62.0,57.0,823.0,4.79,4.82,2.98
0.33,Ideal,F,VVS2,33643,0.62,61.1,55.0,824.0,4.46,4.48,2.73
0.33,Ideal,F,VVS2,38390,1.4,60.7,57.0,824.0,4.48,4.51,2.73
0.33,Ideal,F,VVS2,40066,3.11,61.4,57.0,824.0,4.43,4.46,2.73
0.36,Ideal,I,VVS1,45146,1.8,61.7,56.0,824.0,4.59,4.62,2.84
0.41,Ideal,I,VS1,33412,3.7,61.9,55.0,824.0,4.79,4.81,2.97
0.41,Ideal,F,SI1,38491,1.37,61.4,56.0,824.0,4.77,4.8,2.94
0.41,Ideal,E,SI1,47837,1.74,61.2,55.0,824.0,4.8,4.84,2.95
0.7,IDEAL,G,VS1,32746,5.15,61.0,57.0,2401.0,5.7,5.71,2.67
0.34,Very Good,F,VVS2,31013,1.98,61.9,57.0,825.0,4.48,4.52,2.78
0.34,Very Good,F,VVS2,36881,1.51,61.0,56.0,825.0,4.51,4.53,2.76
0.36,Very Good,F,VS1,31474,3.82,59.9,58.6,825.0,4.62,4.66,2.77
0.36,Very Good,F,VS1,32929,2.9,60.1,59.0,825.0,4.62,4.66,2.78
0.7,Ideal,G,vs2,39522,1.62,61.8,58.0,825.0,5.7,4.79,2.91
0.45,Ideal,I,VS1,36780,0.98,61.6,54.0,825.0,4.95,4.99,3.06
0.45,Ideal,I,VS1,31325,4.16,61.9,54.0,825.0,4.95,4.97,3.07
0.7,Ideal,G,vs1,38196,1.12,62.1,57.0,825.0,4.9,4.92,3.53
0.32,Ideal,E,VS1,47837,1.34,61.5,55.0,825.0,4.43,4.45,2.73
0.32,Ideal,E,VS1,34055,5.19,61.8,56.0,825.0,4.4,4.43,2.73
0.32,Ideal,E,VS1,30782,3.79,61.0,54.0,825.0,4.44,4.46,2.72
0.32,Ideal,E,VS1,32477,4.79,61.1,55.0,825.0,4.44,4.46,2.72
0.32,Ideal,E,VS1,44536,1.9,62.3,54.0,825.0,4.37,4.4,2.73
0.28,Ideal,F,IF,48678,1.25,62.0,53.0,825.0,4.23,4.29,2.64
0.3,Good,D,VVS1,30368,3.77,63.3,61.0,825.0,4.21,4.23,2.67
0.37,Good,D,VS1,48388,3.48,62.1,54.0,825.0,4.67,4.73,2.92
0.42,Premium,D,VS2,44076,4.41,61.3,58.0,825.0,4.8,4.83,2.95
0.34,Ideal,E,VVS2,48821,4.12,62.3,55.0,826.0,4.49,4.53,2.81
0.3,Ideal,E,VVS1,46322,4.99,59.5,60.0,826.0,4.36,4.38,2.6
0.3,Ideal,E,VVS1,34457,2.28,60.0,60.0,826.0,4.37,4.39,2.63
0.3,Ideal,E,VVS1,33492,4.96,62.4,55.0,826.0,4.32,5.71,3.53
0.3,Ideal,E,VVS1,40551,4.25,62.6,54.0,826.0,4.28,4.31,2.69
0.3,Ideal,E,VVS1,48129,2.53,62.3,55.0,826.0,4.29,4.32,2.68
0.4,Ideal,I,VS1,35192,5.17,60.9,56.0,826.0,4.76,4.8,2.91
0.3,Ideal,G,IF,43370,2.49,62.6,54.0,826.0,4.3,4.33,2.7
0.34,Good,G,VVS2,47553,4.84,58.0,61.0,826.0,4.56,4.58,2.65
0.32,Premium,H,SI1,40312,3.85,60.9,60.0,461.0,4.4,4.43,2.69
0.32,Good,H,SI1,45423,1.9,63.5,57.0,461.0,4.34,4.39,2.77
0.32,Very Good,H,SI1,46882,3.76,61.8,56.0,461.0,4.4,4.43,2.73
0.32,Good,H,SI1,43522,1.51,63.4,55.0,461.0,4.36,4.38,2.77
0.28,Very Good,I,VS1,41417,3.25,60.9,57.0,462.0,4.22,4.25,2.58
0.26,Ideal,H,VS1,44611,3.16,62.2,55.0,462.0,4.06,4.11,2.54
0.28,Ideal,H,VS1,43914,4.32,62.2,54.0,462.0,4.19,4.23,2.62
0.23,Good,F,VVS2,40738,3.31,61.2,62.0,462.0,3.95,3.99,2.43
0.25,Good,D,VVS2,31561,2.28,64.6,56.0,462.0,3.97,3.99,2.57
0.23,Good,E,VVS1,42295,2.12,62.8,62.0,462.0,3.9,3.93,2.46
0.31,Very Good,G,SI1,39887,2.94,61.5,59.0,462.0,4.34,4.38,2.68
0.31,Premium,G,SI1,40834,1.46,62.1,58.0,462.0,4.33,4.36,2.7
0.31,Good,D,SI2,36789,1.79,63.7,58.0,462.0,4.27,4.3,2.73
0.31,Very Good,D,SI2,48037,3.54,61.8,60.0,462.0,4.33,4.37,2.69
0.31,Very Good,D,SI2,37726,2.04,62.9,54.0,462.0,4.3,4.35,2.72
0.31,Very Good,D,SI2,36514,3.29,62.8,53.0,462.0,4.35,4.37,2.74
0.31,GOOD,D,SI2,40614,2.02,63.6,57.0,462.0,5.7,4.34,2.75
0.31,Very Good,G,SI1,43651,4.17,62.8,55.0,462.0,4.32,4.38,2.73
0.31,Ideal,G,SI1,37651,3.77,62.2,55.0,462.0,4.36,4.38,2.72
0.31,Premium,G,SI1,36793,0.77,61.8,60.0,462.0,4.32,4.35,2.68
0.31,Very Good,D,SI2,31138,4.61,62.5,55.0,462.0,4.3,4.34,2.7
0.31,Very Good,D,SI2,43876,5.13,62.7,59.0,462.0,4.3,4.35,2.71
0.31,Premium,D,SI2,44786,1.32,62.1,59.0,462.0,4.31,4.35,2.69
0.31,Premium,D,SI2,33434,3.66,60.1,58.0,462.0,4.38,4.4,2.64
0.31,Very Good,G,SI1,46434,3.1,63.0,58.0,462.0,4.3,4.34,2.72
0.7,Ideal,FALSE,MAYBE,48137,1.98,60.1,57.0,462.0,5.7,5.71,3.53
0.31,Good,G,SI1,42509,3.51,63.2,54.0,462.0,4.31,4.33,2.73
0.31,Ideal,D,SI2,34137,4.06,62.1,57.0,462.0,4.32,4.34,2.69
0.31,Good,G,SI1,48519,4.2,63.6,57.0,462.0,4.29,4.33,2.74
0.31,Ideal,G,SI1,40269,4.64,62.2,55.0,462.0,4.35,4.36,2.71
0.31,Good,E,VVS1,44392,3.34,59.0,59.0,826.0,4.4,4.42,2.6
0.51,Premium,E,I1,48475,5.05,58.0,60.0,826.0,5.29,5.23,3.05
0.4,Good,F,VS2,47896,4.46,63.4,54.4,826.0,4.68,4.73,2.99
0.31,Very Good,D,VVS1,42118,0.81,61.1,56.0,826.0,4.35,4.42,2.68
0.38,very good,G,TRUE,37933,1.53,61.8,61.0,827.0,5.7,4.73,2.86
0.33,Ideal,H,VVS2,48736,1.04,61.3,56.0,827.0,4.43,4.47,2.73
0.28,Ideal,D,VVS2,35806,4.49,61.1,55.0,827.0,4.23,4.28,2.6
0.4,Ideal,G,VS2,48559,2.38,61.2,57.0,2401.0,5.7,4.75,2.89
0.41,Ideal,G,SI1,46899,2.38,64.4,57.0,2401.0,5.7,4.71,3.53
0.41,Good,E,VS1,43896,1.93,62.8,58.0,827.0,4.67,4.7,2.94
0.35,Very Good,D,SI1,43933,4.58,63.3,57.0,827.0,4.53,4.51,2.86
0.35,Ideal,D,SI1,41500,3.72,62.3,55.0,827.0,4.56,4.52,2.83
0.7,FALSE,G,TRUE,30421,3.92,60.7,57.0,827.0,4.57,4.53,2.76
0.35,Premium,D,SI1,45152,1.84,60.2,57.0,827.0,4.61,4.56,2.76
0.35,Ideal,D,SI1,33491,3.98,61.6,57.0,827.0,4.55,4.54,2.8
0.35,Premium,D,SI1,42963,3.64,61.8,59.0,827.0,4.56,4.54,2.81
0.35,Premium,D,SI1,48937,2.57,61.0,60.0,827.0,4.58,4.54,2.78
0.35,Premium,D,SI1,36839,2.15,60.1,61.0,827.0,4.59,4.56,2.75
0.35,Ideal,D,SI1,43014,1.1,60.8,55.0,827.0,4.59,4.56,2.78
0.35,Ideal,D,SI1,45698,1.18,61.6,55.0,827.0,4.56,4.53,2.8
0.35,Premium,D,SI1,38848,0.95,62.1,58.0,827.0,4.54,4.51,2.81
0.35,Ideal,D,SI1,30751,1.18,62.3,55.0,827.0,4.54,4.51,2.82
0.35,Premium,D,SI1,36852,2.88,60.9,58.0,827.0,4.55,4.52,2.76
0.35,Ideal,D,SI1,31257,2.6,62.3,57.0,827.0,4.52,4.5,2.81
0.35,Ideal,D,SI1,32452,2.25,61.6,56.0,827.0,4.53,4.49,2.78
0.35,Ideal,D,SI1,32685,1.02,62.7,56.0,827.0,4.51,4.49,2.82
0.35,Ideal,D,SI1,41206,3.79,63.0,57.0,827.0,4.52,4.46,2.83
0.35,Ideal,D,SI1,35099,2.24,61.3,57.0,827.0,4.57,4.54,2.79
0.38,Ideal,F,SI2,31458,1.0,60.6,56.0,827.0,4.73,4.7,2.86
0.5,Fair,F,I1,42536,2.65,57.5,66.0,827.0,5.3,5.17,3.01
0.41,Ideal,I,VVS2,36276,1.54,61.6,57.0,827.0,4.76,4.78,2.94
0.41,Very Good,G,VS2,33940,2.38,60.9,61.0,827.0,4.74,4.75,2.89
0.41,Good,I,VVS2,30989,3.22,63.5,57.0,827.0,4.72,4.76,3.01
0.41,Very Good,G,VS2,44178,2.42,59.8,61.0,827.0,4.78,4.82,2.87
0.7,IDEAL,F,VVS1,48385,1.48,61.1,56.0,827.0,5.7,4.45,2.71
0.41,Premium,G,VS2,47566,1.85,59.8,58.0,827.0,4.8,4.84,2.88
0.41,Premium,G,VS2,40099,4.46,59.2,58.0,827.0,4.8,4.83,2.85
0.7,Ideal,G,VS2,33769,1.4,61.4,57.0,827.0,4.77,4.84,2.95
0.41,Ideal,G,VS2,46500,2.59,62.1,57.0,827.0,4.72,4.78,2.95
0.41,Premium,G,VS2,48187,3.48,60.8,59.0,827.0,4.78,4.8,2.91
0.41,Premium,I,VVS2,35050,2.05,62.4,60.0,827.0,4.7,4.73,2.94
0.41,Very Good,G,VS2,38991,3.59,59.9,59.0,827.0,4.82,4.86,2.9
0.41,Premium,G,VS2,31428,1.79,59.7,59.0,827.0,4.81,4.84,2.88
0.41,Ideal,H,VS1,39073,2.6,62.7,56.0,827.0,4.73,4.77,2.98
0.41,Premium,G,VS2,36124,1.28,62.4,58.0,827.0,4.72,4.76,2.96
0.41,Premium,G,VS2,47170,3.82,62.6,58.0,827.0,4.71,4.74,2.96
0.41,Ideal,G,VS2,32860,3.01,62.7,56.0,827.0,4.71,4.76,2.97
0.41,Premium,G,VS2,42377,4.57,61.8,59.0,827.0,4.72,4.76,2.93
0.41,Ideal,G,VS2,43744,3.1,61.4,57.0,827.0,5.7,4.79,3.53
0.41,Ideal,G,VS2,36038,2.66,62.4,55.0,827.0,4.73,4.76,2.96
0.41,Premium,G,VS2,48648,1.98,60.9,58.0,827.0,4.8,4.83,2.93
0.41,Ideal,G,VS2,30181,1.61,62.7,55.0,827.0,4.75,4.79,2.99
0.41,Premium,G,VS2,41835,4.55,61.9,59.0,827.0,4.73,4.77,2.94
0.41,Ideal,G,VS2,38931,4.44,59.8,57.0,827.0,4.81,4.85,2.89
0.41,Very Good,G,VS2,45628,2.7,61.0,56.0,827.0,4.81,4.83,2.94
0.41,Premium,G,VS2,39703,1.0,62.6,59.0,827.0,4.73,4.76,2.97
0.41,Premium,G,VS2,43753,5.0,61.5,58.0,827.0,4.8,4.82,2.96
0.41,Good,I,VVS2,32798,4.59,63.9,55.0,827.0,4.71,4.74,3.02
0.41,Ideal,g,VS2,42492,4.61,61.8,56.0,2401.0,4.74,4.77,2.98
0.41,Good,J,IF,37989,2.52,63.5,54.0,827.0,4.7,4.75,3.0
0.41,Very Good,I,VVS2,42590,1.44,62.9,58.0,827.0,4.71,4.74,2.97
0.41,Very Good,G,VS2,39712,1.68,62.9,59.0,827.0,4.7,4.75,2.97
0.41,Ideal,G,VS2,46896,0.99,60.9,57.0,827.0,4.79,4.84,2.93
0.41,Ideal,G,VS2,34980,4.87,62.4,54.0,827.0,4.78,4.81,2.99
0.41,Ideal,H,VS1,43146,2.15,61.9,56.0,827.0,4.75,4.78,2.95
0.41,Premium,G,VS2,37795,1.34,61.6,58.0,827.0,4.73,4.78,2.93
0.41,Ideal,G,VS2,32611,2.79,61.4,55.0,827.0,4.75,4.8,2.93
0.41,Very Good,H,VS1,41149,1.75,62.0,56.0,827.0,4.74,4.78,2.95
0.41,Very Good,G,VS2,36932,4.93,61.3,57.0,827.0,4.76,4.8,2.93
0.41,Very Good,H,VS1,46032,1.67,62.8,59.0,827.0,4.73,4.64,2.94
0.7,Ideal,I,SI1,37455,2.91,61.7,56.0,2401.0,5.7,4.8,2.95
0.41,Premium,H,VS1,48546,1.67,62.6,60.0,827.0,4.75,4.77,2.98
0.41,Very Good,G,VS2,41352,4.86,61.7,61.0,827.0,4.7,4.74,2.91
0.41,Premium,G,VS2,31904,2.04,61.8,58.0,827.0,4.75,4.77,2.94
0.41,Ideal,G,VS2,34662,2.65,62.5,56.0,827.0,4.72,4.75,2.96
0.41,Ideal,I,VVS2,32525,3.77,62.3,56.0,827.0,4.73,4.77,2.96
0.41,Good,I,VVS2,39668,2.2,63.1,56.0,827.0,4.72,4.75,2.99
0.41,Ideal,G,VS2,41939,2.09,62.7,56.0,827.0,4.72,4.76,2.97
0.41,Premium,I,VVS2,37467,4.63,59.9,58.0,827.0,4.81,4.87,2.9
0.41,TRUE,G,VS2,35384,2.2,62.5,57.0,827.0,5.7,5.71,3.53
0.41,Premium,I,VVS2,32961,3.9,62.1,58.0,827.0,4.76,4.78,2.96
0.7,Ideal,G,TRUE,38493,4.29,61.8,57.0,827.0,5.7,5.71,3.53
0.41,Good,J,IF,45470,2.7,63.6,54.0,827.0,4.72,4.75,3.01
0.41,Ideal,G,VS2,34909,2.54,62.2,57.0,827.0,4.71,4.74,2.94
0.7,TRUE,MAYBE,TRUE,35745,5.05,62.4,57.0,2401.0,5.7,4.49,3.53
0.32,Ideal,E,VVS1,41889,4.22,62.2,55.0,827.0,4.37,4.41,2.73
0.32,Ideal,E,VVS1,37064,1.32,61.6,56.0,827.0,4.37,4.43,2.71
0.41,Ideal,H,VS1,39632,4.76,61.8,56.0,827.0,4.77,4.81,2.96
0.36,Ideal,F,VVS2,39205,3.7,61.5,55.0,828.0,4.59,4.62,2.83
0.31,Ideal,D,VVS2,44384,2.42,61.8,54.0,828.0,4.36,4.38,2.7
0.31,Ideal,D,VVS2,42097,2.71,61.5,56.0,828.0,4.39,4.43,2.71
0.32,Ideal,F,VVS1,30449,3.25,61.0,56.0,828.0,4.42,4.47,2.71
0.33,Ideal,F,VVS1,34709,1.52,60.6,59.0,828.0,4.45,4.5,2.71
0.31,Ideal,F,VVS1,45146,2.4,62.1,54.0,828.0,4.35,4.38,2.71
0.31,Ideal,F,VVS1,46429,2.05,62.4,55.0,828.0,4.33,4.36,2.71
0.31,Ideal,F,VVS1,39853,4.41,62.0,55.0,828.0,4.34,4.37,2.7
0.44,Ideal,J,VS2,33040,5.11,62.3,54.0,828.0,4.89,4.86,3.04
0.39,Ideal,F,VS2,36932,3.62,62.1,53.0,828.0,4.73,4.77,2.95
0.32,Ideal,D,VS2,34425,1.09,61.0,56.0,828.0,4.41,4.44,2.7
0.4,Ideal,I,VS1,36212,3.7,62.0,54.0,828.0,4.72,4.75,2.94
0.36,Ideal,E,VS1,40747,1.81,62.0,55.0,828.0,4.58,4.6,2.85
0.47,Fair,E,SI1,43996,4.45,61.8,57.0,2401.0,5.7,4.82,3.12
0.28,Ideal,F,IF,43216,4.72,62.4,55.0,828.0,4.2,4.17,2.61
0.28,PREMIUM,MAYBE,FALSE,33909,2.91,61.8,59.0,828.0,5.7,4.22,2.55
0.28,Ideal,E,VVS1,42146,3.03,62.0,56.0,828.0,4.23,4.19,2.61
0.28,Ideal,E,VVS2,46688,1.38,62.4,56.0,828.0,4.2,4.16,2.61
0.28,Ideal,E,VVS2,38430,3.99,62.1,56.0,828.0,4.21,4.19,2.61
0.28,Ideal,E,VVS2,48024,2.8,60.3,57.0,828.0,4.25,4.21,2.55
0.28,Premium,E,VVS1,43087,4.95,62.9,52.0,828.0,4.21,4.18,2.64
0.28,Premium,E,VVS1,31997,3.86,61.1,60.0,828.0,4.21,4.17,2.56
0.28,Premium,E,VVS1,38771,2.91,61.3,60.0,828.0,4.21,4.18,2.57
0.32,Ideal,G,VS1,38938,4.24,60.8,57.0,828.0,4.42,4.39,2.68
0.32,Good,F,VS2,41461,1.85,63.6,57.0,828.0,4.37,4.34,2.77
0.32,Premium,H,VVS2,38751,1.39,61.0,58.0,828.0,4.44,4.41,2.7
0.32,Premium,H,VVS2,37346,5.04,61.6,55.0,828.0,4.44,4.42,2.73
0.32,Premium,H,VVS2,34860,0.84,60.2,60.0,828.0,4.48,4.45,2.69
0.32,Premium,H,VVS2,34808,3.67,62.3,58.0,828.0,4.37,4.33,2.71
0.32,Very Good,H,VVS2,30585,2.76,63.4,56.0,828.0,4.37,4.34,2.76
0.32,Premium,H,VVS2,32607,2.22,62.1,58.0,828.0,4.39,4.34,2.71
0.32,Ideal,H,VVS2,31813,0.81,62.9,57.0,828.0,4.39,4.36,2.75
0.32,Ideal,H,VVS2,48861,3.97,61.9,55.0,828.0,4.39,4.37,2.71
0.32,Ideal,H,VVS2,32162,1.87,61.7,56.0,828.0,4.42,4.37,2.71
0.32,Ideal,H,VVS2,45798,3.97,61.8,55.0,828.0,4.42,4.38,2.72
0.7,TRUE,H,SI1,36443,0.71,61.8,57.0,2401.0,4.42,4.38,2.72
0.32,Ideal,H,VVS2,44184,1.55,62.0,55.0,828.0,4.42,4.39,2.73
0.32,Ideal,H,VVS2,32256,3.03,61.2,56.0,828.0,4.43,4.4,2.7
0.32,Premium,G,VS1,46432,5.16,59.2,59.0,828.0,4.47,4.45,2.64
0.32,Ideal,G,VS1,48275,1.23,61.3,55.0,828.0,4.46,4.42,2.72
0.32,Ideal,G,VS1,35460,3.88,60.5,56.0,828.0,4.44,4.42,2.68
0.32,Ideal,G,VS1,43947,1.91,61.2,56.0,828.0,4.44,4.42,2.71
0.32,Ideal,G,VS1,35219,2.82,61.8,55.0,828.0,4.45,4.42,2.74
0.32,Premium,G,VS1,40218,1.67,62.1,56.0,828.0,4.43,4.4,2.74
0.32,Premium,G,VS1,42236,3.61,60.6,60.0,828.0,4.44,4.4,2.68
0.32,Premium,G,VS1,48312,5.19,62.1,55.0,828.0,4.44,4.41,2.75
0.32,Ideal,G,VS1,31529,1.03,61.2,56.0,828.0,4.45,4.41,2.71
0.32,Ideal,G,VS1,31550,1.79,62.1,55.0,828.0,4.42,4.4,2.74
0.32,Ideal,G,VS1,45666,4.03,61.2,57.0,828.0,4.43,4.4,2.7
0.32,Premium,G,VS1,40465,0.86,61.3,62.0,828.0,4.42,4.39,2.7
0.32,Premium,G,VS1,32315,2.52,61.0,59.0,828.0,4.43,4.39,2.69
0.32,Ideal,G,VS1,40509,4.87,61.7,55.0,828.0,4.43,4.39,2.72
0.32,Ideal,G,VS1,35167,2.4,61.9,55.0,828.0,4.43,4.39,2.73
0.7,TRUE,FALSE,TRUE,44237,3.31,61.6,57.0,828.0,4.42,4.38,3.53
0.32,Ideal,G,VS1,32191,0.65,62.8,54.0,828.0,4.41,4.38,2.76
0.32,Ideal,G,VS1,44956,2.5,61.6,56.0,828.0,4.42,4.38,2.71
0.32,Ideal,G,VS1,31851,4.32,62.1,55.0,828.0,4.41,4.38,2.73
0.32,Premium,G,VS1,41117,1.18,61.7,58.0,828.0,4.41,4.38,2.71
0.32,Ideal,G,VS1,34406,5.19,62.9,57.0,828.0,4.4,4.37,2.76
0.32,Ideal,G,VS1,30550,2.04,61.7,55.0,828.0,4.41,4.37,2.71
0.32,Ideal,G,VS1,41167,4.99,62.0,56.0,828.0,4.41,5.71,3.53
0.7,Ideal,g,VS1,38979,2.89,63.0,57.0,828.0,4.38,4.35,3.53
0.32,Ideal,G,VS1,36760,5.15,62.0,56.0,828.0,4.39,4.35,2.71
0.32,Premium,G,VS1,38199,4.84,62.4,58.0,828.0,4.4,4.35,2.73
0.32,Premium,G,VS1,37150,1.29,61.4,58.0,828.0,4.4,4.36,2.69
0.32,Premium,G,VS1,37308,2.8,62.1,58.0,828.0,4.39,4.37,2.72
0.32,Ideal,G,VS1,30143,4.07,62.3,54.0,828.0,4.39,4.37,2.73
0.32,Ideal,G,VS1,48953,2.89,62.3,56.0,828.0,4.39,4.37,2.73
0.32,Very Good,G,VS1,39788,2.52,63.2,55.0,828.0,4.39,4.37,2.77
0.32,Ideal,G,VS1,38455,3.62,61.3,57.0,828.0,4.4,4.37,2.69
0.32,Ideal,G,VS1,44952,5.16,62.3,55.0,828.0,4.4,4.37,2.73
0.32,Premium,G,VS1,35429,3.84,62.8,58.0,828.0,4.39,4.34,2.74
0.32,Premium,G,VS1,40250,1.64,61.8,60.0,828.0,4.36,4.35,2.69
0.32,Premium,G,VS1,34555,3.08,62.8,59.0,828.0,4.37,4.33,2.73
0.32,Premium,F,VS2,44770,2.89,59.4,58.0,828.0,4.48,4.44,2.65
0.32,Ideal,F,VS2,44442,4.08,61.1,57.0,828.0,4.47,4.44,2.72
0.32,Premium,F,VS2,36435,1.66,59.5,61.0,828.0,4.46,4.42,2.64
0.32,Premium,F,VS2,39373,4.66,60.7,58.0,828.0,4.45,4.41,2.69
0.32,Ideal,F,VS2,39798,2.22,61.9,56.0,828.0,4.44,4.41,2.74
0.32,Premium,F,VS2,36184,4.83,60.8,58.0,828.0,4.44,4.41,2.69
0.32,Ideal,F,VS2,40521,0.65,61.2,56.0,828.0,4.44,4.41,2.71
0.32,Premium,F,VS2,38723,4.51,59.7,59.0,828.0,4.44,4.41,2.64
0.32,Ideal,F,VS2,48452,1.29,60.3,55.0,828.0,4.45,4.4,2.67
0.32,Ideal,F,VS2,41998,3.64,61.3,56.0,828.0,4.43,4.41,2.71
0.32,Ideal,F,VS2,44348,2.5,62.4,55.0,828.0,4.43,4.41,2.76
0.32,Ideal,F,VS2,37625,2.14,61.1,57.0,828.0,4.44,4.4,2.7
0.32,Premium,F,VS2,46439,2.0,61.2,59.0,828.0,4.42,4.4,2.7
0.32,Ideal,F,VS2,33200,2.15,61.5,56.0,828.0,4.42,4.4,2.71
0.32,Ideal,F,VS2,48947,1.82,61.5,55.0,828.0,4.42,4.4,2.71
0.32,Premium,F,VS2,37267,1.8,60.2,59.0,828.0,4.43,4.4,2.66
0.32,Ideal,F,VS2,45241,4.4,61.6,57.0,828.0,4.43,4.4,2.72
0.32,Ideal,F,VS2,38893,3.16,61.6,55.0,828.0,4.43,4.4,2.72
0.32,Premium,F,VS2,33362,3.79,60.6,59.0,828.0,4.44,4.4,2.68
0.32,Ideal,F,VS2,42974,2.29,61.7,55.0,828.0,4.41,4.4,2.72
0.32,Premium,F,VS2,38928,1.22,61.5,58.0,828.0,4.42,4.39,2.71
0.32,Premium,F,VS2,32803,2.39,61.1,58.0,828.0,4.42,4.39,2.69
0.32,Premium,F,VS2,45408,3.72,61.4,60.0,828.0,4.42,4.38,2.7
0.32,Ideal,F,VS2,40196,3.22,62.6,55.0,828.0,4.41,4.38,2.75
0.32,Premium,F,VS2,47452,1.42,61.7,58.0,828.0,4.41,4.38,2.71
0.32,Ideal,F,VS2,30986,2.83,62.4,54.0,828.0,4.4,4.38,2.74
0.32,Premium,F,VS2,48305,2.57,61.0,61.0,828.0,4.41,4.38,2.68
0.32,Ideal,F,VS2,32474,5.05,62.3,56.0,828.0,4.4,4.37,2.73
0.32,Ideal,F,VS2,30558,5.18,62.5,56.0,828.0,4.38,4.36,2.73
0.32,Ideal,F,VS2,46248,5.02,61.9,56.0,828.0,4.39,4.37,2.71
0.32,Ideal,F,VS2,37300,2.27,61.3,57.0,828.0,4.4,4.37,2.69
0.7,TRUE,G,VS2,33576,0.64,61.8,60.0,828.0,4.4,5.71,3.53
0.32,Premium,F,VS2,31564,4.77,62.1,59.0,828.0,4.41,4.35,2.72
0.32,Ideal,F,VS2,36527,1.47,62.2,55.0,828.0,4.37,4.35,2.71
0.32,Ideal,F,VS2,47147,5.1,62.4,56.0,828.0,4.37,4.35,2.72
0.32,Ideal,F,VS2,41711,0.71,62.1,57.0,828.0,4.38,4.35,2.71
0.32,Ideal,F,VS2,43081,1.74,62.8,57.0,2401.0,5.7,5.71,2.73
0.32,Ideal,F,VS2,40024,3.78,62.4,57.0,828.0,4.38,4.34,2.72
0.32,Ideal,F,VS2,40574,4.06,62.8,53.0,828.0,4.38,4.34,2.74
0.32,Very Good,F,VS2,48934,1.92,63.4,57.0,828.0,4.36,4.32,2.75
0.32,Very Good,F,VS2,30824,4.46,63.2,58.0,828.0,4.35,4.32,2.74
0.3,Ideal,F,VS2,46028,1.24,60.5,56.0,828.0,4.37,4.33,2.63
0.32,Ideal,G,VS1,35520,4.98,61.2,56.0,828.0,4.43,4.39,2.7
0.32,Premium,G,VS1,48452,2.14,62.5,60.0,828.0,4.35,4.29,2.7
0.32,Ideal,F,VS2,33245,4.09,62.5,56.0,828.0,4.4,4.37,2.74
0.44,Premium,G,VS2,46823,2.63,60.6,58.0,828.0,4.9,4.96,2.99
0.4,Very Good,J,IF,47707,2.83,62.7,60.0,828.0,4.64,4.7,2.93
0.4,Very Good,J,IF,43101,3.0,62.2,61.0,828.0,4.68,4.71,2.92
0.4,Ideal,J,IF,30240,2.22,62.4,56.0,828.0,4.71,4.74,2.95
0.33,Ideal,F,VVS1,37786,2.03,62.1,56.0,828.0,4.43,4.46,2.76
0.4,Ideal,J,IF,35624,4.27,62.6,56.0,828.0,4.71,4.75,2.96
0.32,Premium,D,VS2,31570,3.95,58.8,59.0,829.0,4.52,4.49,2.65
0.44,Very Good,F,SI1,47719,2.2,62.8,59.0,829.0,4.88,4.91,3.07
0.42,Very Good,I,SI1,41546,3.05,63.5,54.0,829.0,4.76,4.72,3.01
0.33,Premium,E,VS2,34660,3.39,62.0,60.0,829.0,4.46,4.41,2.75
0.32,Ideal,F,VVS2,48937,0.84,60.4,57.0,829.0,4.46,4.47,2.7
0.33,Ideal,FALSE,VVS1,35595,2.86,61.8,57.0,829.0,4.42,5.71,2.75
